กิจกรรมที่,กิจกรรม,ประเภท,วันที่,เวลา
1,Dota2,เกมส์,15/2/2562,19.00-00.00
2,PUBG Mobile,เกมส์,15/2/2562,19.00-00.00
3,ROV,เกมส์,15/2/2562,19.00-00.00
4,CS:GO,เกมส์,15/2/2562,19.00-00.00
5,ตอบปัญหาเทคโนโลยี,วิชาการ,16/2/2562,09.00-12.00
6,เขียนโปรแกรม,วิชาการ,16/2/2562,09.00-12.00
7,สร้าง Web,วิชาการ,16/2/2562,09.00-12.00
8,บาสเกตบอล,กีฬา,16/2/2562,09.00-15.00
9,แชร์บอล,กีฬา,16/2/2562,09.00-15.00
10,แบดมินตัน,กีฬา,16/2/2562,09.00-15.00
11,ฟุตซอล,กีฬา,16/2/2562,09.00-15.00
12,วอลเลย์บอล,กีฬา,16/2/2562,09.00-15.00
